#gene1 gene2
EGFR MET
ERBB2 EGFR
ERBB2 EPHA4
EGFR EPHB3
CSF1R FGFR1
CSF1R FGFR2
CSF1R FGFR3
CSF1R FGFR4
KRAS HRAS
KRAS NRAS
MET NTRK1
NRAS HRAS
KIT CSF1R
INSR MET
FUS TAF15
PVR NECTIN4
POTEC ANKRD26
SMPD4 LOC150776
DGCR6L LOC102724770
PRODH LOC102724788
PWP2 LOC102724159
NPEPPS LOC440434
DDX11 LOC642846
PDCD6 LOC728613
COMMD4 LOC440292
SDHA LOC220729
MTHFD1L LOC101929583
MTHFD1L LOC102724904
MTHFD1L LOC100996643
PDPR LOC283922
GUSB LOC653080
GUSBP11 LOC653080
TBC1D2B LOC646938
PDE4DIP LOC100996724
SEPTIN7P9 LOC645513
SMURF2P1-LRRC37BP1 LOC107984974
RPS6KB1 LOC100287072
ASNS LOC442028
CSPG4 LOC440300
HK2 HK3
HK2 HK1
MX1 MX2
GH1 GH2
ZFX ZFY
YY1 YY2
AP3S1 AP1S3
NR4A1 NR5A1
NR4A3 NR1D1
ULK4 CHRFAM7A
PPARA THRB
FBN2 EFEMP1
LTBP1 EFEMP1
EFEMP2 LTBP2
EFEMP2 LTBP3
EFEMP2 FBLN5
LTBP1 FBN1
LTBP4 FBN1
FBLN1 FBN1
EFEMP1 FBN1
NPNT FBN1
NPNT FBN2
LTBP1 FBN2
LTBP3 FBN2
LTBP4 FBN2
FBLN1 FBN2
HMCN1 FBN2
CRELD1 FBN3
HMCN2 FBN3
LTBP2 FBN3
LTBP4 FBN3
FBLN2 FBN3
FBLN1 FBN3
CRELD2 LTBP4
CRELD2 FBLN5
FBLN1 LTBP2
FBLN1 LTBP3
FBLN1 LTBP4
FBLN1 HMCN2
FBLN1 CRELD1
FBLN1 CRELD2
FBLN1 EFEMP2
FBLN2 LTBP3
FBLN5 FBN3
FBLN5 LTBP3
FBLN5 LTBP2
HMCN1 EFEMP1
LTBP2 EFEMP1
LTBP4 HMCN2
LTBP4 FBLN5
LTBP4 HMCN1
LTBP4 FBLN2
LTBP4 EFEMP2
LTBP4 CRELD1
CRELD2 LTBP3
CRELD1 LTBP3
CRELD2 FBN3
CRELD2 HMCN2
CRELD1 FBN2
RANBP2 RGPD1
RANBP2 RGPD2
RANBP2 RGPD3
RANBP2 RGPD4
RANBP2 RGPD5
RANBP2 RGPD6
RANBP2 RGPD8
GCC2 RGPD1
GCC2 RGPD2
GCC2 RGPD3
GCC2 RGPD4
GCC2 RGPD5
GCC2 RGPD6
GCC2 RGPD8
RGL3 RALGDS
RGL4 RALGDS
KLK7 PRSS21
KLK8 PLAT
KLK9 PRSS8
KLK11 CFD
KLK13 TMPRSS9
KLK13 CELA1
KLK13 PRSS8
KLK4 PRSS36
CFD PRSS22
CFD PRSS38
PLG TMPRSS2
TMPRSS11E CELA3B
TMPRSS11E CELA3A
TMPRSS6 PRSS41
TMPRSS4 PRSS55
TMPRSS2 PRSS55
PRSS8 CELA1
PLAT PRSS27
MAP4K4 TNIK
FAP DPP4
KDM6A UTY
A2M PZP
TRO MAGED2
FAM120A C9orf129
ADAMTSL3 PAPLN
RHD RHCE
ABR BCR
HCK BLK
HCK LYN
HCK LCK
HCK FGR
LYN CSK
MAK ICK
LCK MET
FYN FGR
FYN YES1
